Date,Signal,Multiplier,Bet_Pct,PnL,Won,Capital_After
2025-04-04,SELL,1,5.0,0.88,True,10000.88
2025-04-10,SELL,1,5.0,1.49,True,10002.37
2025-04-11,SELL,1,5.0,0.85,True,10003.23
2025-04-17,SELL,1,5.0,4.28,True,10007.5
2025-05-07,SELL,2,5.0,-15.35,False,9992.15
2025-05-12,SELL,4,10.0,-9.05,False,9983.1
2026-01-21,BUY,8,20.0,-1.64,False,9981.46
2026-01-23,SELL,8,40.0,-15.86,False,9965.6
