Date,Close,Predicted_Return,Portfolio_Value,Signal,Action,Stop_Price
2025-02-14,355.8399963378906,0.005445503040750621,9990.00999000999,BUY,BUY,345.1647964477539
2025-02-18,354.1099853515625,0.008891863592003738,9941.440893747316,BUY,HOLD,345.1647964477539
2025-02-19,360.55999755859375,0.009099750830641632,10122.521399162853,BUY,HOLD,349.7431976318359
2025-02-20,354.3999938964844,0.006878134323974678,9949.582722352234,BUY,HOLD,349.7431976318359
2025-02-21,337.79998779296875,0.003112967891033326,9474.063236621485,HOLD,STOP_EXIT,349.7431976318359
2025-02-24,330.5299987792969,0.008490410562325938,9464.598637983503,BUY,BUY,320.61409881591794
2025-02-25,302.79998779296875,-0.009135029947355785,8661.889941210487,SELL,STOP_EXIT,320.61409881591794
2025-02-26,290.79998779296875,-0.012572378852805223,8661.889941210487,SELL,HOLD,
2025-02-27,281.95001220703125,-0.011350984774857284,8661.889941210487,SELL,HOLD,
2025-02-28,292.9800109863281,-0.011390597428318442,8661.889941210487,SELL,HOLD,
2025-03-03,284.6499938964844,-0.009185469228769894,8661.889941210487,SELL,HOLD,
2025-03-04,272.0400085449219,-0.006146770420110624,8661.889941210487,SELL,HOLD,
2025-03-05,279.1000061035156,0.0004650765953478496,8661.889941210487,HOLD,HOLD,
2025-03-06,263.45001220703125,-0.008675289022295574,8661.889941210487,SELL,HOLD,
2025-03-07,262.6700134277344,0.0012714390741001898,8661.889941210487,HOLD,HOLD,
2025-03-10,222.14999389648438,-0.01736054754793161,8661.889941210487,SELL,HOLD,
2025-03-11,230.5800018310547,-0.008558055848842044,8661.889941210487,SELL,HOLD,
2025-03-12,248.08999633789062,-0.010185899656479012,8661.889941210487,SELL,HOLD,
2025-03-13,240.67999267578125,-0.010417442847793935,8661.889941210487,SELL,HOLD,
2025-03-14,249.97999572753906,-0.0022445602460175484,8661.889941210487,HOLD,HOLD,
2025-03-17,238.00999450683594,0.004568451217788228,8661.889941210487,HOLD,HOLD,
2025-03-18,225.30999755859375,-0.004654497643677928,8661.889941210487,HOLD,HOLD,
2025-03-19,235.86000061035156,0.0015341911626078034,8661.889941210487,HOLD,HOLD,
2025-03-20,236.25999450683594,0.002629635070503788,8661.889941210487,HOLD,HOLD,
2025-03-21,248.7100067138672,0.002033886874971698,8661.889941210487,HOLD,HOLD,
2025-03-24,278.3900146484375,-0.006315145099972453,8661.889941210487,SELL,HOLD,
2025-03-25,288.1400146484375,-0.009226908778031704,8661.889941210487,SELL,HOLD,
2025-03-26,272.05999755859375,-0.0162934665382191,8661.889941210487,SELL,HOLD,
2025-03-27,273.1300048828125,-0.003245131345595065,8661.889941210487,HOLD,HOLD,
2025-03-28,263.54998779296875,-0.0014534619338455988,8661.889941210487,HOLD,HOLD,
2025-03-31,259.1600036621094,0.0012353377062215539,8661.889941210487,HOLD,HOLD,
2025-04-01,268.4599914550781,0.0053030626668696965,8653.236704505982,BUY,BUY,260.4061917114258
2025-04-02,282.760009765625,0.004673237841851839,9114.167372980051,HOLD,HOLD,274.27720947265624
2025-04-03,267.2799987792969,0.0032012263655207818,8606.586948760045,HOLD,STOP_EXIT,274.27720947265624
2025-04-04,239.42999267578125,-0.0077635166399195946,8606.586948760045,SELL,HOLD,
2025-04-07,233.2899932861328,-0.00023465487360071352,8606.586948760045,HOLD,HOLD,
2025-04-08,221.86000061035156,-0.008863175389548937,8606.586948760045,SELL,HOLD,
2025-04-09,272.20001220703125,-0.005586827351373581,8606.586948760045,SELL,HOLD,
2025-04-10,252.39999389648438,-0.009236048931604656,8606.586948760045,SELL,HOLD,
2025-04-11,252.30999755859375,-0.004104090423730154,8606.586948760045,HOLD,HOLD,
2025-04-14,252.35000610351562,-0.006363193276308099,8606.586948760045,SELL,HOLD,
2025-04-15,254.11000061035156,0.002499760740953749,8606.586948760045,HOLD,HOLD,
2025-04-16,241.5500030517578,0.00471056405842889,8606.586948760045,HOLD,HOLD,
2025-04-17,241.3699951171875,0.004910481872433013,8606.586948760045,HOLD,HOLD,
2025-04-21,227.5,-0.0006804937617513152,8606.586948760045,HOLD,HOLD,
2025-04-22,237.97000122070312,0.006690777878799535,8597.988959800246,BUY,BUY,230.83090118408202
2025-04-23,250.74000549316406,0.000982514193489652,9059.37634135256,HOLD,HOLD,243.21780532836914
2025-04-24,259.510009765625,0.002005569712996042,9376.241490426904,HOLD,HOLD,251.72470947265623
2025-04-25,284.95001220703125,0.0008434264748627117,10295.402977196156,HOLD,HOLD,276.4015118408203
2025-04-28,285.8800048828125,-0.0035896795585597515,10329.004131619173,HOLD,HOLD,277.3036047363281
2025-04-29,292.0299987792969,-0.010282286934177596,10540.655636687094,SELL,SELL,283.26909881591797
2025-04-30,282.1600036621094,-0.004594131593898812,10540.655636687094,HOLD,HOLD,
2025-05-01,280.5199890136719,0.00017688861172121987,10540.655636687094,HOLD,HOLD,
2025-05-02,287.2099914550781,0.0012066161329271103,10540.655636687094,HOLD,HOLD,
2025-05-05,280.260009765625,0.002196281718865209,10540.655636687094,HOLD,HOLD,
2025-05-06,275.3500061035156,0.004065677914855159,10540.655636687094,HOLD,HOLD,
2025-05-07,276.2200012207031,0.004098432616708664,10540.655636687094,HOLD,HOLD,
2025-05-08,284.82000732421875,0.0035033686003306565,10540.655636687094,HOLD,HOLD,
2025-05-09,298.260009765625,0.00013881399737306782,10540.655636687094,HOLD,HOLD,
2025-05-12,318.3800048828125,-0.004513437991958576,10540.655636687094,HOLD,HOLD,
2025-05-13,334.07000732421875,-0.00682141716160729,10540.655636687094,SELL,HOLD,
2025-05-14,347.67999267578125,-0.00710928089494835,10540.655636687094,SELL,HOLD,
2025-05-15,342.82000732421875,-0.00600346272371774,10540.655636687094,SELL,HOLD,
2025-05-16,349.9800109863281,-0.00486488236584278,10540.655636687094,HOLD,HOLD,
2025-05-19,342.0899963378906,6.596990008107405e-05,10540.655636687094,HOLD,HOLD,
2025-05-20,343.82000732421875,0.0020988717296339466,10540.655636687094,HOLD,HOLD,
2025-05-21,334.6199951171875,0.00011710247747451891,10540.655636687094,HOLD,HOLD,
2025-05-22,341.0400085449219,-0.0013529915157797828,10540.655636687094,HOLD,HOLD,
2025-05-23,339.3399963378906,-0.00016889143701739081,10540.655636687094,HOLD,HOLD,
