Date,Capital
2025-02-14,10000.0
2025-02-18,10000.0
2025-02-19,10000.0
2025-02-20,10000.0
2025-02-21,10000.0
2025-02-24,10000.0
2025-02-25,10000.0
2025-02-26,10000.0
2025-02-27,10000.0
2025-02-28,10000.0
2025-03-03,10000.0
2025-03-04,10000.0
2025-03-05,10000.0
2025-03-06,10000.0
2025-03-07,10000.0
2025-03-10,10000.0
2025-03-11,10000.0
2025-03-12,10000.0
2025-03-13,10000.0
2025-03-14,10000.0
2025-03-17,10000.0
2025-03-18,10000.0
2025-03-19,10000.0
2025-03-20,10000.0
2025-03-21,10000.0
2025-03-24,10000.0
2025-03-25,10000.0
2025-03-26,10000.0
2025-03-27,10000.0
2025-03-28,10000.0
2025-03-31,10000.0
2025-04-01,10000.0
2025-04-02,10000.0
2025-04-03,10000.0
2025-04-04,10000.876713411633
2025-04-07,10000.876713411633
2025-04-08,10000.876713411633
2025-04-09,10000.876713411633
2025-04-10,10002.371491240538
2025-04-11,10003.226351388288
2025-04-14,10003.226351388288
2025-04-15,10003.226351388288
2025-04-16,10003.226351388288
2025-04-17,10007.503109654062
2025-04-21,10007.503109654062
2025-04-22,10007.503109654062
2025-04-23,10007.503109654062
2025-04-24,10007.503109654062
2025-04-25,10007.503109654062
2025-04-28,10007.503109654062
2025-04-29,10007.503109654062
2025-04-30,10007.503109654062
2025-05-01,10007.503109654062
2025-05-02,10007.503109654062
2025-05-05,10007.503109654062
2025-05-06,10007.503109654062
2025-05-07,9992.151755726803
2025-05-08,9992.151755726803
2025-05-09,9992.151755726803
2025-05-12,9983.103911250648
2025-05-13,9983.103911250648
2025-05-14,9983.103911250648
2025-05-15,9983.103911250648
2025-05-16,9983.103911250648
2025-05-19,9983.103911250648
2025-05-20,9983.103911250648
2025-05-21,9983.103911250648
2025-05-22,9983.103911250648
2025-05-23,9983.103911250648
2025-05-27,9983.103911250648
2025-05-28,9983.103911250648
2025-05-29,9983.103911250648
2025-05-30,9983.103911250648
2025-06-02,9983.103911250648
2025-06-03,9983.103911250648
2025-06-04,9983.103911250648
2025-06-05,9983.103911250648
2025-06-06,9983.103911250648
2025-06-09,9983.103911250648
2025-06-10,9983.103911250648
2025-06-11,9983.103911250648
2025-06-12,9983.103911250648
2025-06-13,9983.103911250648
2025-06-16,9983.103911250648
2025-06-17,9983.103911250648
2025-06-18,9983.103911250648
2025-06-20,9983.103911250648
2025-06-23,9983.103911250648
2025-06-24,9983.103911250648
2025-06-25,9983.103911250648
2025-06-26,9983.103911250648
2025-06-27,9983.103911250648
2025-06-30,9983.103911250648
2025-07-01,9983.103911250648
2025-07-02,9983.103911250648
2025-07-03,9983.103911250648
2025-07-07,9983.103911250648
2025-07-08,9983.103911250648
2025-07-09,9983.103911250648
2025-07-10,9983.103911250648
2025-07-11,9983.103911250648
2025-07-14,9983.103911250648
2025-07-15,9983.103911250648
2025-07-16,9983.103911250648
2025-07-17,9983.103911250648
2025-07-18,9983.103911250648
2025-07-21,9983.103911250648
2025-07-22,9983.103911250648
2025-07-23,9983.103911250648
2025-07-24,9983.103911250648
2025-07-25,9983.103911250648
2025-07-28,9983.103911250648
2025-07-29,9983.103911250648
2025-07-30,9983.103911250648
2025-07-31,9983.103911250648
2025-08-01,9983.103911250648
2025-08-04,9983.103911250648
2025-08-05,9983.103911250648
2025-08-06,9983.103911250648
2025-08-07,9983.103911250648
2025-08-08,9983.103911250648
2025-08-11,9983.103911250648
2025-08-12,9983.103911250648
2025-08-13,9983.103911250648
2025-08-14,9983.103911250648
2025-08-15,9983.103911250648
2025-08-18,9983.103911250648
2025-08-19,9983.103911250648
2025-08-20,9983.103911250648
2025-08-21,9983.103911250648
2025-08-22,9983.103911250648
2025-08-25,9983.103911250648
2025-08-26,9983.103911250648
2025-08-27,9983.103911250648
2025-08-28,9983.103911250648
2025-08-29,9983.103911250648
2025-09-02,9983.103911250648
2025-09-03,9983.103911250648
2025-09-04,9983.103911250648
2025-09-05,9983.103911250648
2025-09-08,9983.103911250648
2025-09-09,9983.103911250648
2025-09-10,9983.103911250648
2025-09-11,9983.103911250648
2025-09-12,9983.103911250648
2025-09-15,9983.103911250648
2025-09-16,9983.103911250648
2025-09-17,9983.103911250648
2025-09-18,9983.103911250648
2025-09-19,9983.103911250648
2025-09-22,9983.103911250648
2025-09-23,9983.103911250648
2025-09-24,9983.103911250648
2025-09-25,9983.103911250648
2025-09-26,9983.103911250648
2025-09-29,9983.103911250648
2025-09-30,9983.103911250648
2025-10-01,9983.103911250648
2025-10-02,9983.103911250648
2025-10-03,9983.103911250648
2025-10-06,9983.103911250648
2025-10-07,9983.103911250648
2025-10-08,9983.103911250648
2025-10-09,9983.103911250648
2025-10-10,9983.103911250648
2025-10-13,9983.103911250648
2025-10-14,9983.103911250648
2025-10-15,9983.103911250648
2025-10-16,9983.103911250648
2025-10-17,9983.103911250648
2025-10-20,9983.103911250648
2025-10-21,9983.103911250648
2025-10-22,9983.103911250648
2025-10-23,9983.103911250648
2025-10-24,9983.103911250648
2025-10-27,9983.103911250648
2025-10-28,9983.103911250648
2025-10-29,9983.103911250648
2025-10-30,9983.103911250648
2025-10-31,9983.103911250648
2025-11-03,9983.103911250648
2025-11-04,9983.103911250648
2025-11-05,9983.103911250648
2025-11-06,9983.103911250648
2025-11-07,9983.103911250648
2025-11-10,9983.103911250648
2025-11-11,9983.103911250648
2025-11-12,9983.103911250648
2025-11-13,9983.103911250648
2025-11-14,9983.103911250648
2025-11-17,9983.103911250648
2025-11-18,9983.103911250648
2025-11-19,9983.103911250648
2025-11-20,9983.103911250648
2025-11-21,9983.103911250648
2025-11-24,9983.103911250648
2025-11-25,9983.103911250648
2025-11-26,9983.103911250648
2025-11-28,9983.103911250648
2025-12-01,9983.103911250648
2025-12-02,9983.103911250648
2025-12-03,9983.103911250648
2025-12-04,9983.103911250648
2025-12-05,9983.103911250648
2025-12-08,9983.103911250648
2025-12-09,9983.103911250648
2025-12-10,9983.103911250648
2025-12-11,9983.103911250648
2025-12-12,9983.103911250648
2025-12-15,9983.103911250648
2025-12-16,9983.103911250648
2025-12-17,9983.103911250648
2025-12-18,9983.103911250648
2025-12-19,9983.103911250648
2025-12-22,9983.103911250648
2025-12-23,9983.103911250648
2025-12-24,9983.103911250648
2025-12-26,9983.103911250648
2025-12-29,9983.103911250648
2025-12-30,9983.103911250648
2025-12-31,9983.103911250648
2026-01-02,9983.103911250648
2026-01-05,9983.103911250648
2026-01-06,9983.103911250648
2026-01-07,9983.103911250648
2026-01-08,9983.103911250648
2026-01-09,9983.103911250648
2026-01-12,9983.103911250648
2026-01-13,9983.103911250648
2026-01-14,9983.103911250648
2026-01-15,9983.103911250648
2026-01-16,9983.103911250648
2026-01-20,9983.103911250648
2026-01-21,9981.460022266794
2026-01-22,9981.460022266794
2026-01-23,9965.595663769443
2026-01-26,9965.595663769443
2026-01-27,9965.595663769443
2026-01-28,9965.595663769443
2026-01-29,9965.595663769443
2026-01-30,9965.595663769443
2026-02-02,9965.595663769443
2026-02-03,9965.595663769443
2026-02-04,9965.595663769443
2026-02-05,9965.595663769443
2026-02-06,9965.595663769443
2026-02-09,9965.595663769443
2026-02-10,9965.595663769443
2026-02-11,9965.595663769443
2026-02-12,9965.595663769443
2026-02-13,9965.595663769443
2026-02-17,9965.595663769443
2026-02-18,9965.595663769443
2026-02-19,9965.595663769443
2026-02-20,9965.595663769443
2026-02-23,9965.595663769443
